,Ticker,Company,Market Cap,Sector,Industry,Country,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Scale (billion $),Labor Cost (billion $),Operating Leverage (DOL),C-Suite Diversity,Technological Enabler,ESG Score,Earnings,Price,Target Price
6206,RCMT,"RCM Technologies, Inc.",118.85M,Industrials,Engineering & Construction,USA,24.21,2.93,0.66,5.62,42.45,21.22,-,0.00%,-333.30%,0.00%,-28.90%,15.00%,-4.10%,-,44.00%,17.50%,0.00%,35.00%,31.69%,1.07,4.70%,14.40%,-22.60%,1.4,1.4,0.35,0.36,25.50%,2.90%,1.80%,76.33%,77.82%,107.76%,246.83%,76.83%,7.08%,44.94%,62.31%,93.20%,-4.51%,273.13%,77.85,0.12,0.03,3.1,28,Industry 4.0,51.05,Mar 31/b,12.13,11.75
6209,RCRT,"Recruiter.com Group, Inc.",33.47M,Industrials,Staffing & Employment Services,USA,-,-,2.08,1.55,6.32,-,-,-,58.20%,48.50%,-15.90%,-,-,-237.70%,215.00%,1.50%,3.43%,5.00%,-28.26%,0.47,-118.30%,625.80%,69.90%,1.4,1.4,0.17,0.27,33.50%,-74.60%,-,-21.48%,-20.30%,-36.72%,-75.42%,-19.08%,10.01%,-30.01%,-21.66%,-41.96%,-83.09%,5.26%,28.66,0.03,0.01,0.8,33,Industry 4.0,55.94,-,2.0,9.07
6225,RDW,Redwire Corporation,541.86M,Industrials,Aerospace & Defense,USA,14.73,-,5.25,1.11,903.1,-,-,-,-,80.00%,-,-,-,-,-,0.70%,0.00%,20.30%,-14.46%,2.34,-14.10%,-19.10%,-,2.7,2.7,0,0,-,-,-,14.29%,-9.87%,-28.24%,-37.27%,-4.00%,9.16%,-9.76%,4.36%,-27.23%,-62.40%,50.24%,45.56,0.54,0.12,1.8,23,Industry 4.0,47.62,Mar 31/a,6.39,13
6244,REKR,"Rekor Systems, Inc.",218.75M,Industrials,Security & Protection Services,USA,-,-,15.74,2.07,-,-,-,-,-12.70%,-4.20%,-,-,3.30%,-,14.30%,10.70%,1.93%,45.10%,7.94%,11.51,-,-,-,2.2,2.1,0,0.01,60.00%,-,-,25.12%,-25.26%,-53.60%,-77.51%,-23.21%,10.65%,14.66%,12.06%,-36.88%,-80.48%,47.03%,59.55,0.22,0.05,2.4,32,Industry 4.0,45.95,-,4.95,10
6252,RENO,"Renovare Environmental, Inc.",15.92M,Industrials,Pollution & Treatment Controls,USA,-,-,1.18,54.34,26.53,-,-,-,-10.90%,16.70%,2.00%,-,31.20%,56.40%,542.90%,20.45%,0.00%,8.30%,35.58%,1.24,-16.40%,-,-33.00%,0.4,0.4,144,198,21.40%,-52.30%,-70.70%,36.53%,-28.15%,-56.18%,-69.30%,-22.48%,15.83%,8.99%,9.69%,-46.31%,-70.26%,61.09%,55.27,0.02,0.0,3.8,31,Industry 4.0,51.97,-,0.55,4.25
6266,REVG,"REV Group, Inc.",845.29M,Industrials,Farm & Heavy Construction Machinery,USA,9.19,-,0.36,1.72,60.81,7.06,1.50%,22.10%,215.30%,26.35%,5.60%,-,4.30%,-,-3.10%,2.40%,0.00%,97.00%,-2.03%,3.6,3.40%,8.60%,8.70%,1.7,0.6,0.52,0,12.10%,3.20%,1.80%,-1.98%,-7.54%,-24.18%,-27.74%,-5.58%,4.29%,-4.13%,-3.87%,-14.17%,-41.52%,16.07%,42.18,0.85,0.19,0.6,32,Industry 4.0,49.71,Mar 09/b,13.0,13.88
6273,REZI,"Resideo Technologies, Inc.",3.41B,Industrials,Security & Protection Services,USA,10.46,-,0.58,1.55,4.38,13.55,-,0.00%,456.60%,12.79%,2.60%,-,5.60%,3.40%,-3.10%,1.40%,0.00%,94.70%,0.79%,5.7,4.20%,11.30%,7.50%,1.7,1.2,0.54,0.55,26.70%,6.40%,4.10%,-1.83%,-8.13%,-1.39%,-17.03%,-7.15%,3.58%,-8.89%,-7.58%,-14.05%,-30.68%,3.41%,37.45,3.41,0.8,1.3,31,Industry 4.0,51.43,Feb 15/a,23.05,34.33
6282,RFIL,"RF Industries, Ltd.",72.57M,Industrials,Electrical Equipment & Parts,USA,-,-,1.13,1.81,5.38,-,-,0.00%,-43.50%,-,27.20%,-,13.70%,32.60%,69.00%,3.10%,142.29%,34.40%,-3.16%,0.56,13.40%,16.30%,15.60%,4.2,2.8,0,0,29.90%,11.70%,9.80%,1.58%,-13.87%,-9.69%,7.27%,-11.50%,3.85%,5.41%,3.78%,-4.09%,-23.56%,20.67%,57.76,0.07,0.02,2.9,18,Industry 3.0,58.35,-,7.36,9
6295,RGP,"Resources Connection, Inc.",545.23M,Industrials,Consulting Services,USA,11.96,1.38,0.77,1.6,7.72,-,3.30%,36.00%,-11.70%,-21.98%,-0.90%,8.00%,1.00%,-,30.70%,1.90%,-18.98%,82.90%,4.61%,1.89,9.90%,15.40%,6.80%,2.6,2.6,0.12,0.12,38.70%,7.70%,7.20%,-0.41%,-6.03%,5.07%,23.22%,-4.82%,2.42%,1.93%,0.80%,2.94%,-15.53%,28.24%,52.27,0.55,0.14,1.3,19,Industry 4.0,56.84,Apr 06/a,17.03,19.5
6296,RGR,"Sturm, Ruger & Company, Inc.",1.22B,Industrials,Aerospace & Defense,USA,11.44,-,1.67,3.39,5.51,14.42,4.51%,35.30%,72.60%,2.26%,13.80%,-,1.90%,20.80%,-0.80%,0.70%,-11.62%,70.30%,0.93%,6.62,38.40%,47.60%,41.90%,4.3,3.7,0,0,38.30%,27.80%,21.30%,0.44%,1.64%,-6.58%,1.58%,2.91%,2.70%,-2.72%,0.01%,-5.95%,-25.13%,11.02%,45.38,1.22,0.35,1.6,21,Industry 4.0,62.69,Feb 23/a,69.25,83
6302,RHI,Robert Half International Inc.,12.91B,Industrials,Staffing & Employment Services,USA,17.83,1.87,2,9.21,20.86,32.62,1.31%,28.00%,98.30%,7.66%,15.00%,11.60%,4.20%,81.00%,35.70%,2.70%,-0.17%,91.50%,0.05%,3.28,21.40%,46.50%,43.30%,1.7,1.7,0,0,41.70%,12.40%,9.30%,-0.78%,6.08%,13.18%,46.33%,4.12%,2.77%,-1.32%,-2.31%,5.98%,-9.49%,46.65%,46.04,12.91,3.63,1.7,26,Industry 3.0,61.57,Jan 27/a,113.83,112
6323,RKLB,"Rocket Lab USA, Inc.",3.92B,Industrials,Aerospace & Defense,USA,-,-,77.64,2.81,4.95,-,-,-,-81.20%,72.10%,-,-,-,-,-50.50%,24.11%,0.00%,57.00%,-0.87%,2.09,-,-,33.20%,11.1,10.6,0.14,0.15,-25.00%,-,-,-1.19%,-31.97%,-43.88%,-24.48%,-32.41%,6.86%,-2.27%,-7.27%,-29.13%,-61.36%,9.79%,45.89,3.92,0.83,3.6,30,Industry 3.0,46.6,Feb 28/a,8.24,18.86
6329,RLGT,"Radiant Logistics, Inc.",318.57M,Industrials,Integrated Freight & Logistics,USA,6.88,0.43,0.29,1.84,18.52,-,-,0.00%,117.20%,0.00%,42.60%,24.60%,2.60%,83.50%,52.10%,3.80%,0.00%,60.90%,9.27%,6.06,7.70%,18.60%,13.60%,1.5,1.5,0.55,0.58,23.00%,3.70%,2.70%,-3.54%,-14.36%,-3.40%,-13.66%,-14.13%,3.97%,-6.99%,-7.81%,-10.97%,-31.18%,6.18%,37.24,0.32,0.08,2.0,23,Industry 4.0,56.36,Feb 14/a,6.01,11.75
6373,ROAD,"Construction Partners, Inc.",1.36B,Industrials,Engineering & Construction,USA,27.25,1.58,1.35,3.33,32.25,-,-,0.00%,-50.10%,33.92%,-2.10%,50.90%,10.90%,-30.30%,49.30%,2.20%,-0.06%,90.00%,2.32%,2.29,2.30%,4.40%,3.50%,2.1,1.7,0.66,0.68,12.20%,2.80%,1.80%,3.86%,-10.33%,-19.89%,-9.88%,-8.53%,3.75%,2.33%,1.60%,-14.92%,-40.68%,19.63%,53.03,1.36,0.3,4.0,23,Industry 3.0,48.75,Feb 04/b,26.69,32.83
6378,ROCK,"Gibraltar Industries, Inc.",1.42B,Industrials,Building Products & Equipment,USA,11.31,0.98,1.06,1.78,110.64,262.26,-,0.00%,-10.90%,19.30%,16.50%,20.00%,5.90%,-4.60%,99.40%,0.80%,-0.39%,-,-0.76%,1.66,6.30%,9.50%,8.50%,1.6,0.9,0.03,0.03,22.10%,7.20%,5.60%,-7.66%,-33.55%,-36.60%,-50.69%,-33.61%,4.22%,-7.29%,-12.26%,-33.85%,-54.91%,1.88%,36.57,1.42,0.34,0.5,31,Industry 4.0,51.85,Feb 23/b,43.44,73.5
6383,ROK,"Rockwell Automation, Inc.",32.16B,Industrials,Specialty Industrial Machinery,USA,23.43,2.92,4.41,13.02,59.49,119.42,1.59%,50.00%,32.10%,11.49%,15.80%,11.21%,3.50%,-59.40%,18.70%,0.20%,-15.03%,81.70%,0.61%,3.08,10.50%,44.70%,21.10%,1.1,0.8,1.38,1.63,41.20%,15.20%,13.80%,4.50%,-17.22%,-3.96%,6.94%,-19.40%,2.44%,3.55%,2.58%,-8.06%,-20.37%,12.78%,56.39,32.16,7.39,2.4,30,Industry 4.0,50.36,Jan 27/b,282.68,332.57
6387,ROLL,RBC Bearings Incorporated,5.57B,Industrials,Tools & Accessories,USA,34.53,16,7.49,2.39,21.82,37.01,-,0.00%,-29.30%,53.23%,5.70%,5.90%,0.40%,-123.60%,83.00%,0.20%,-3.05%,-,-1.75%,7.35,2.00%,2.90%,7.30%,2.9,1.4,0.74,0.77,37.90%,13.70%,6.90%,-0.74%,-4.98%,-10.01%,-1.84%,-3.60%,3.07%,-2.69%,1.03%,-8.49%,-24.28%,14.28%,45.35,5.57,1.23,1.5,19,Industry 4.0,48.26,Feb 10/b,189.7,235.17
6388,ROLLP,RBC Bearings Incorporated,5.57B,Industrials,Tools & Accessories,USA,-,-,-,1.09,-,-,1.54%,-,-,-,-,-,-,-,83.00%,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-3.30%,-5.72%,-10.41%,-,-4.58%,1.75%,-3.18%,-0.68%,-7.53%,-22.72%,7.34%,43.36,5.57,1.32,1.3,28,Industry 3.0,51.97,-,98.06,235.17
6393,ROP,"Roper Technologies, Inc.",50.32B,Industrials,Specialty Industrial Machinery,USA,28.56,6.96,8.71,4.39,143.16,28.88,0.52%,20.60%,18.10%,8.42%,7.50%,7.50%,8.80%,-11.80%,13.20%,0.60%,-1.03%,95.40%,0.28%,2.14,4.80%,10.30%,6.10%,0.8,0.7,0.62,0.69,67.80%,25.60%,19.90%,5.87%,1.32%,8.03%,15.79%,-2.16%,1.90%,5.03%,7.42%,3.02%,-4.44%,17.07%,66.99,50.32,12.86,1.1,26,Industry 3.0,56.04,Feb 02/b,482.57,515.93
6416,RRX,Regal Rexnord Corporation,9.87B,Industrials,Specialty Industrial Machinery,USA,12.55,2.92,2.59,1.56,-,-,0.90%,24.20%,-5.20%,11.94%,-0.50%,9.70%,3.40%,-105.80%,55.90%,0.30%,-1.53%,63.60%,161.10%,2.19,3.50%,5.90%,3.20%,2.5,1.5,0.3,0.3,28.80%,8.70%,5.50%,-5.74%,-14.22%,1.74%,5.95%,-13.91%,2.77%,-6.68%,-7.74%,-3.61%,-17.97%,21.32%,34.44,9.87,2.18,3.4,16,Industry 4.0,48.32,Feb 02/a,145.12,194.12
6418,RSG,"Republic Services, Inc.",41.49B,Industrials,Waste Management,USA,25.84,3.81,3.67,4.67,-,45.21,1.39%,42.90%,33.60%,10.36%,17.80%,8.59%,3.80%,33.60%,14.80%,34.80%,0.92%,61.20%,-0.96%,1.65,5.30%,14.60%,9.70%,0.7,0.7,1.06,1.06,40.30%,18.40%,11.40%,1.67%,-2.41%,10.11%,30.08%,-5.24%,1.75%,3.45%,6.82%,6.98%,-7.72%,34.32%,63.5,41.49,8.99,3.2,23,Industry 4.0,47.51,Feb 10/a,134.71,141.92
6430,RTX,Raytheon Technologies Corporation,146.36B,Industrials,Aerospace & Defense,USA,17.12,2.38,2.27,1.98,18.69,73.92,2.05%,77.60%,212.80%,21.01%,-15.90%,16.20%,2.40%,360.80%,3.80%,0.10%,-2.50%,80.40%,-0.46%,1.73,2.40%,5.40%,3.40%,1.2,0.9,0.43,0.43,19.50%,6.70%,6.00%,-0.29%,14.18%,13.24%,28.11%,15.38%,2.40%,0.19%,3.12%,11.53%,-4.78%,30.60%,52.1,146.36,38.84,2.8,24,Industry 3.0,58.18,Jan 25/b,99.35,109.29
6465,RYAAY,Ryanair Holdings plc,17.17B,Industrials,Airlines,Ireland,16.98,-,4.14,3.7,5.25,-,-,-,-257.80%,673.70%,-22.80%,74.60%,-24.20%,70.30%,330.80%,9.10%,0.00%,46.60%,1.60%,0.68,-3.20%,-9.00%,-7.40%,1.3,1.3,0.95,1.04,29.30%,-13.30%,-11.40%,6.61%,-16.23%,-23.13%,-21.87%,-12.87%,4.51%,2.36%,-12.21%,-18.31%,-31.59%,17.44%,45.86,17.17,4.07,0.8,22,Industry 3.0,51.91,-,87.05,127.2
6472,RYI,Ryerson Holding Corporation,1.34B,Industrials,Metal Fabrication,USA,13.05,14.75,0.24,2.47,26.13,-,0.98%,2.20%,537.10%,-71.04%,69.30%,0.31%,14.70%,720.00%,79.80%,3.00%,-0.43%,92.20%,0.00%,2.5,13.00%,83.30%,28.80%,2.1,1,1.17,1.24,20.20%,7.80%,5.20%,8.64%,32.04%,52.74%,113.59%,32.74%,5.71%,-2.56%,21.26%,43.91%,-13.85%,154.67%,54.04,1.34,0.42,2.4,28,Industry 3.0,68.16,Feb 23/a,34.1,20
6492,SAIA,"Saia, Inc.",6.49B,Industrials,Trucking,USA,17.16,0.79,2.84,5.08,60.88,66.97,-,0.00%,82.30%,11.09%,38.40%,31.33%,12.90%,82.80%,29.50%,0.30%,-27.89%,-,-1.09%,3.69,14.70%,22.90%,20.10%,1.3,1.3,0.03,0.04,72.40%,14.60%,11.10%,-11.01%,-25.17%,0.50%,3.01%,-30.11%,6.58%,-15.63%,-17.72%,-16.91%,-38.64%,19.91%,34.25,6.49,1.7,1.5,16,Industry 3.0,57.54,Feb 02/b,224.26,341.31
6516,SAVE,"Spirit Airlines, Inc.",2.37B,Industrials,Airlines,USA,9.43,-,0.73,1.13,1.65,-,-,-,21.40%,106.80%,-26.20%,-,6.80%,50.00%,98.10%,0.70%,-1.81%,63.10%,-2.59%,1.8,-5.50%,-22.00%,-6.40%,1.4,1.4,1.41,1.51,16.40%,-12.00%,-14.60%,-1.48%,-2.18%,-18.46%,-42.57%,0.64%,5.50%,0.47%,-5.92%,-12.06%,-45.19%,17.63%,45.76,2.37,0.6,2.6,18,Industry 3.0,55.82,Apr 27/a,21.48,31.62
6517,SB,"Safe Bulkers, Inc.",548.64M,Industrials,Marine Shipping,Monaco,4.08,0.23,1.67,0.81,5.37,2.53,4.42%,3.60%,683.10%,-7.36%,30.20%,14.00%,24.60%,1572.60%,77.00%,67.90%,0.00%,25.50%,-14.82%,0.92,15.00%,28.10%,18.10%,1.4,1.3,0.46,0.56,75.10%,58.20%,49.70%,5.85%,16.80%,-6.61%,92.34%,19.89%,5.77%,-7.83%,0.33%,5.61%,-22.15%,99.76%,41.82,0.55,0.19,2.5,35,Industry 3.0,77.81,Mar 09/a,4.24,5.62
6529,SBLK,Star Bulk Carriers Corp.,2.81B,Industrials,Marine Shipping,Greece,5.64,-,1.97,1.38,6.24,6.91,17.81%,0.00%,3676.50%,-22.86%,32.40%,-,45.10%,928.10%,168.80%,19.80%,0.00%,51.40%,-13.63%,0.77,19.10%,36.80%,20.30%,2.3,2.1,0.64,0.74,67.40%,51.60%,47.70%,-0.67%,18.88%,20.00%,95.54%,23.86%,5.83%,-5.14%,1.06%,21.43%,-13.55%,99.32%,44.91,2.81,1.03,1.0,43,Industry 4.0,80.39,Feb 16/a,27.67,35.61
6581,SCS,Steelcase Inc.,1.31B,Industrials,Business Equipment & Supplies,USA,10.93,25.56,0.51,1.52,4.76,-,5.04%,970.60%,-86.70%,75.33%,-30.40%,10.00%,-3.20%,350.60%,19.50%,2.50%,0.00%,92.00%,-1.61%,3.13,0.20%,0.60%,3.20%,1.7,1.2,0.56,0.56,28.60%,0.30%,0.20%,-3.28%,-3.28%,-8.80%,-20.69%,-1.88%,3.51%,-4.23%,-5.96%,-11.21%,-28.66%,5.90%,40.44,1.31,0.29,2.4,18,Industry 4.0,48.43,Mar 23/a,11.3,15.5
6587,SCX,The L.S. Starrett Company,50.87M,Industrials,Tools & Accessories,USA,-,-,0.21,0.64,5.41,-,-,0.00%,167.10%,-,25.00%,-,0.90%,-36.20%,13.30%,4.80%,-2.10%,44.30%,2.03%,0.69,7.20%,17.20%,15.00%,2.4,1.1,0.11,0.37,33.20%,7.00%,5.60%,3.03%,-20.70%,-34.76%,16.17%,-20.11%,4.05%,2.83%,-1.57%,-17.97%,-44.89%,29.39%,51.91,0.05,0.01,3.7,20,Industry 4.0,55.72,-,7.66,-
6597,SDH,"Global Internet of People, Inc.",51.26M,Industrials,Consulting Services,China,-,-,2.32,0.85,-,-,-,-,-,-,-,-,-,-,-16.40%,53.56%,0.00%,0.22%,-,0.24,-,-,-,-,-,-,-,-,-,-,75.63%,64.57%,-2.79%,-40.62%,80.17%,14.60%,38.92%,44.88%,-2.57%,-51.21%,90.99%,71.27,0.05,0.01,0.7,22,Industry 3.0,50.51,-,2.01,-
6613,SEB,Seaboard Corporation,4.84B,Industrials,Conglomerates,USA,-,-,0.52,1.12,3.25,-,0.21%,1.80%,101.50%,-,13.00%,-,11.40%,-54.30%,23.80%,78.73%,269.12%,18.30%,0.48%,2.11,8.00%,13.50%,6.80%,2.6,1.5,0.18,0.31,8.90%,5.00%,6.20%,14.76%,8.88%,4.03%,12.55%,7.91%,3.23%,6.52%,10.37%,7.95%,-2.84%,20.93%,71.38,4.84,1.39,3.8,16,Industry 3.0,62.96,-,4275.0,-
6642,SFL,SFL Corporation Ltd.,1.40B,Industrials,Marine Shipping,Bermuda,9.87,-,2.73,1.28,8.42,9.08,6.61%,46.60%,157.30%,0.19%,-4.70%,-7.70%,4.50%,128.20%,32.40%,43.40%,0.00%,33.60%,6.66%,1.9,5.00%,18.20%,7.20%,0.6,0.6,2.1,2.46,69.50%,47.30%,32.00%,-0.19%,20.35%,22.79%,28.46%,26.26%,2.58%,2.03%,8.59%,23.16%,-3.42%,54.42%,61.36,1.4,0.47,1.4,38,Industry 4.0,73.2,Feb 16/b,10.3,11.5
6653,SGBX,"SG Blocks, Inc.",23.88M,Industrials,Metal Fabrication,USA,-,-,0.64,1.59,7.24,-,-,-,96.60%,-,9.20%,-,29.50%,-152.50%,1434.50%,11.40%,0.00%,20.30%,320.42%,0.99,-34.60%,-56.70%,-25.00%,0.8,0.8,0,0.16,15.50%,-14.00%,-24.30%,21.86%,9.85%,-30.75%,-52.85%,18.62%,8.81%,22.18%,20.42%,-22.54%,-59.93%,43.75%,69.2,0.02,0.01,2.6,26,Industry 4.0,59.9,-,2.3,-
6665,SGLY,Singularity Future Technology Ltd.,373.35M,Industrials,Integrated Freight & Logistics,USA,-,-,74.67,4.86,7.26,-,-,-,83.50%,-,7.00%,-,-6.80%,-139.30%,-47.40%,2.90%,0.00%,2.60%,-11.23%,1.19,-29.50%,-31.30%,-11.60%,10.6,10.6,0.2,0.2,2.50%,-,-,165.43%,184.60%,521.16%,142.23%,213.84%,15.37%,65.26%,118.35%,283.57%,10.45%,694.26%,77.05,0.37,0.09,2.3,16,Industry 4.0,53.84,-,16.6,-
6672,SGRP,"SPAR Group, Inc.",26.85M,Industrials,Specialty Business Services,USA,-,-,0.11,1.11,1.75,29.83,-,0.00%,39.20%,-,30.90%,-,14.10%,1.00%,14.40%,47.70%,-1.45%,8.10%,0.41%,0.78,5.00%,19.90%,29.00%,1.5,1.5,0.04,0.61,19.00%,4.00%,1.80%,-3.45%,-0.79%,-10.00%,-23.64%,2.44%,4.33%,-6.59%,-4.11%,-13.04%,-67.88%,22.76%,38.23,0.03,0.01,0.7,26,Industry 3.0,48.16,Mar 30/a,1.24,-
6687,SHIP,Seanergy Maritime Holdings Corp.,188.73M,Industrials,Marine Shipping,Greece,2.97,-,1.23,0.77,-,-,9.09%,0.00%,139.40%,19.35%,14.90%,-,34.60%,314.20%,166.20%,59.60%,0.00%,2.40%,-77.71%,1.56,9.50%,19.40%,-,-,-,0.91,0,65.50%,38.60%,27.00%,-1.51%,21.39%,-10.89%,11.17%,22.26%,5.68%,-4.17%,0.72%,2.92%,-29.43%,44.71%,47.25,0.19,0.06,3.1,38,Industry 3.0,74.27,Mar 10/b,1.12,1.88
6694,SHPW,"Shapeways Holdings, Inc.",138.72M,Industrials,Specialty Industrial Machinery,USA,-,-,5.46,1.02,1.54,-,-,-,-304.00%,-,-,-,-,-,-4.80%,1.50%,0.00%,54.50%,0.58%,2.17,-10.00%,-10.80%,-,15.1,15.1,0,0,84.00%,-,-51.20%,-12.02%,-39.79%,-72.28%,-77.30%,-38.81%,10.07%,-10.90%,-24.05%,-65.09%,-82.51%,6.16%,38.62,0.14,0.03,1.6,27,Industry 4.0,49.55,Mar 31/a,2.24,4.5
6702,SHYF,"The Shyft Group, Inc.",1.26B,Industrials,Farm & Heavy Construction Machinery,USA,11.85,1.25,1.27,4.7,33.92,26.62,0.28%,5.10%,80.90%,60.73%,50.10%,15.00%,10.90%,153.40%,61.60%,1.90%,-9.40%,85.60%,-1.21%,3.74,16.10%,29.20%,25.00%,1.7,1.2,0,0.04,20.10%,8.50%,6.90%,-11.67%,-28.09%,-11.86%,-7.26%,-27.72%,3.95%,-10.88%,-15.32%,-18.60%,-36.37%,9.23%,33.83,1.26,0.33,0.7,16,Industry 3.0,57.38,Feb 24/b,34.68,52.6
6708,SIDU,"Sidus Space, Inc.",55.43M,Industrials,Aerospace & Defense,USA,-,-,48.04,-,25.19,-,-,-,20.00%,-,-,-,-,-,22.40%,-,-,1.40%,61.31%,0.58,-,-,25.10%,1.3,1.3,-,-,-,-,-,-38.14%,-67.93%,-,-,-67.78%,14.72%,-12.00%,-49.39%,-57.74%,-89.12%,6.60%,35.37,0.06,0.01,3.3,15,Industry 3.0,47.56,-,3.23,-
6712,SIF,"SIFCO Industries, Inc.",28.80M,Industrials,Aerospace & Defense,USA,-,-,0.31,0.58,41.14,95.99,-,-,-108.10%,-,42.60%,-,-3.50%,-225.20%,-23.50%,17.20%,0.00%,18.30%,-1.12%,0.97,-6.60%,-15.50%,0.20%,1.3,0.8,0.08,0.45,5.90%,-7.60%,-7.90%,-39.83%,-29.88%,-46.70%,-66.91%,-29.23%,7.70%,-18.59%,-25.79%,-43.10%,-71.16%,1.00%,31.89,0.03,0.01,3.2,33,Industry 3.0,51.7,-,4.55,-
6736,SITE,"SiteOne Landscape Supply, Inc.",7.28B,Industrials,Industrial Distribution,USA,27.53,3.07,2.09,6.97,135.59,40.84,-,0.00%,89.20%,11.09%,30.10%,10.30%,16.10%,137.70%,19.30%,1.10%,-16.35%,-,-1.15%,7.78,11.60%,24.90%,18.90%,2.2,1,0.27,0.28,34.90%,9.00%,6.90%,-1.45%,-30.51%,-19.72%,-5.88%,-32.07%,4.14%,-6.15%,-7.31%,-19.39%,-38.23%,7.07%,40.98,7.28,1.58,2.4,22,Industry 4.0,47.51,Feb 16/b,160.61,199.75
6764,SKYH,Sky Harbour Group Corporation,766.73M,Industrials,Aerospace & Defense,USA,-,-,-,1.87,5.52,-,-,0.00%,197.40%,-,-,-,-,104.80%,215.10%,30.12%,0.00%,80.00%,-0.99%,0.15,2.10%,2.40%,-,20.1,20.1,0,0.01,-,-,-,-22.53%,30.31%,31.28%,32.14%,30.19%,33.16%,-51.21%,-23.08%,3.95%,-72.63%,126.29%,37.82,0.77,0.22,2.4,32,Industry 4.0,62.79,-,11.88,-
6767,SKYW,"SkyWest, Inc.",1.45B,Industrials,Airlines,USA,8.68,-,0.53,0.64,1.68,1.78,-,0.00%,2088.20%,3.00%,22.00%,-,-2.40%,109.20%,31.80%,1.80%,11.99%,89.10%,-0.32%,3.55,1.60%,5.00%,4.40%,0.9,0.8,1.2,1.37,59.70%,10.20%,4.10%,12.95%,-28.86%,-44.48%,-48.40%,-26.56%,5.00%,4.41%,-5.15%,-29.03%,-49.32%,26.03%,50.61,1.45,0.4,3.9,17,Industry 3.0,60.11,Feb 03/a,28.71,45.2
6778,SLDP,"Solid Power, Inc.",1.67B,Industrials,Electrical Equipment & Parts,USA,-,-,596.28,1.69,2.83,-,-,0.00%,119.50%,-,-,-,-,-,11.10%,7.00%,0.00%,17.90%,18.18%,1.2,-,-,-4.70%,71,71,0,0,-4.30%,-,-,45.86%,10.04%,-3.71%,-,12.81%,8.30%,12.64%,25.26%,0.23%,-34.88%,72.37%,62.45,1.67,0.4,1.9,21,Industry 3.0,52.55,Mar 22/a,9.67,12
6779,SLDPW,"Solid Power, Inc.",1.67B,Industrials,Electrical Equipment & Parts,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.80%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.62%,13.97%,1.95%,-,14.98%,12.74%,13.56%,25.79%,0.55%,-64.47%,350.91%,57.65,1.67,0.42,4.0,32,Industry 3.0,55.13,-,2.48,-
6816,SMED,Sharps Compliance Corp.,106.87M,Industrials,Waste Management,USA,29.83,0.33,1.35,1.61,2.97,8.55,-,0.00%,448.00%,60.18%,291.70%,22.50%,18.00%,2.10%,11.20%,4.20%,0.00%,58.00%,6.98%,4.44,15.40%,23.60%,25.20%,3.9,3.4,0.06,0.07,37.50%,17.80%,15.90%,-10.74%,-25.31%,-29.60%,-60.67%,-24.26%,5.34%,-3.38%,-10.57%,-30.51%,-70.75%,13.51%,41.87,0.11,0.03,1.3,28,Industry 3.0,64.3,Jan 26/b,5.46,14.75
6847,SNA,Snap-on Incorporated,11.24B,Industrials,Tools & Accessories,USA,12.96,2.8,2.44,2.67,14.41,18.11,2.72%,33.60%,30.40%,5.43%,10.20%,5.00%,4.40%,6.70%,2.30%,1.60%,-3.72%,91.40%,-0.60%,11.91,12.20%,20.40%,16.30%,3.1,2.3,0.28,0.29,53.50%,24.40%,17.80%,0.53%,-2.21%,-2.30%,-10.75%,-3.15%,2.54%,0.13%,-0.57%,-3.47%,-19.96%,5.23%,49.65,11.24,3.02,2.6,27,Industry 3.0,58.82,Feb 03/b,208.09,236.38
6853,SNCY,"Sun Country Airlines Holdings, Inc.",1.53B,Industrials,Airlines,USA,10.61,-,2.45,3.17,4.83,42.86,-,0.00%,-,136.81%,-,-,-,92.60%,60.10%,0.50%,-96.98%,-,-0.04%,8.37,5.90%,16.80%,9.30%,1.3,1.3,0.88,0.96,63.50%,17.20%,12.40%,7.73%,-4.74%,-24.80%,-28.10%,-1.83%,6.27%,6.47%,0.94%,-13.58%,-41.08%,26.52%,54.25,1.53,0.4,2.2,25,Industry 3.0,57.75,Feb 08/b,26.0,37.71
